proyecto_id,titulo,publicacion_fecha,anio,tipo,autor,relevante,dominio,tema,orientacion,saliencia,fuente_etiqueta,flag_revision,notas
HCDN094229,"DECLARAR DE INTERES DE LA H CAMARA EL ""16 CONGRESO INTERPROVINCIAL, 8 NACIONAL E INTERNACIONAL Y 4 DEL MERCOSUR DE ENTIDADES VECINALES"", A REALIZARSE DEL 25 AL 27 DE ABRIL DE 2008 EN LA CIUDAD DE RIO CUARTO, PROVINCIA DE CORDOBA.",2008-04-24T00:00:00,2008,DECLARACION,"GONZALEZ, NANCY SUSANA",false,ninguno,,,,corpus,no,evento
HCDN094366,EXPRESAR BENEPLACITO POR LA DESIGNACION DE LA PROVINCIA DE TUCUMAN COMO SEDE DE LA CUMBRE DE JEFES DE ESTADO DEL MERCOSUR Y PAISES ASOCIADOS.,2008-04-28T00:00:00,2008,DECLARACION,"DIAZ, SUSANA ELADIA",true,C,mercosur_institucional,administrativa_neutra,relacionada,corpus,no,sede de cumbre
HCDN094431,CREACION DE LA UNIDAD DE ENLACE CON EL PARLAMENTO DEL MERCOSUR EN EL AMBITO DE LA HONORABLE CAMARA DE DIPUTADOS DE LA NACION.,2008-04-30T00:00:00,2008,RESOLUCION,"ROSSI, AGUSTIN OSCAR",true,C,mercosur_institucional,administrativa_neutra,relacionada,corpus,no,unidad de enlace con Parlasur
HCDN094482,"EXPRESAR PREOCUPACION POR EL CIERRE DE LAS EXPORTACIONES DE LA DENOMINADA ""CUOTA HILTON"".",2008-05-02T00:00:00,2008,DECLARACION,"FERRO, FRANCISCO JOSE",true,B,comercio_ue_sectorial,pro_liberalizacion,relacionada,corpus,no,
HCDN094533,"COMERCIO DE CARNE VACUNA: RESTABLECER LAS REGULACIONES ESTABLECIDAS POR LA LEY 21740, DE CREACION DE LA JUNTA NACIONAL DE CARNES.",2008-05-05T00:00:00,2008,LEY,"MACALUSE, EDUARDO GABRIEL",false,ninguno,,,,corpus,no,
HCDN094743,SOLICITAR AL PODER EJECUTIVO DISPONGA LOS CONTROLES NECESARIOS EN LAS MEDICIONES Y EL COBRO DE MULTAS A CAMIONES PROVENIENTES DEL BRASIL Y DEL PARAGUAY EN LA RUTA 14 DEL MERCOSUR.,2008-05-07T00:00:00,2008,DECLARACION,"CAMAÑO, DANTE ALBERTO",false,ninguno,,,,corpus,si,ruta 14 toponimo; fiscalizacion vial domestica
HCDN094768,"CREACION DE LOS ""PREMIOS MERCOSUR A LAS CIENCIAS"" EN EL AMBITO DEL MINISTERIO DE CIENCIA, TECNOLOGIA E INNOVACION PRODUCTIVA.",2008-05-08T00:00:00,2008,LEY,"GRIBAUDO, CHRISTIAN ALEJANDRO",false,ninguno,,,,corpus,si,premio nacional con nombre Mercosur
HCDN094773,EMISION DE UN CARNE UNICO DE TRANSPORTE GRATUITO PARA UTILIZACION POR PERSONAS CON DISCAPACIDAD.,2008-05-08T00:00:00,2008,LEY,"BELOUS, NELIDA",false,ninguno,,,,corpus,no,carne = carnet
HCDN095022,EXPRESAR APOYO AL DESARROLLO DE LA CADENA DE GANADO Y CARNES BOVINAS.,2008-05-13T00:00:00,2008,RESOLUCION,"PERIE, HUGO RUBEN",false,ninguno,,,,corpus,no,
HCDN095321,"REGIMEN DE PROMOCION PARA LA PRODUCCION DE TARTAGO DESTINADO A LA FABRICACION DE BIOCOMBUSTIBLE: VIGENCIA DE 15 AÑOS, CREACION DEL REGISTRO DE PRODUCTORES DE TARTAGO.",2008-05-20T00:00:00,2008,LEY,"DIEZ, MARIA INES",false,ninguno,,,,corpus,no,
HCDN095325,SOLICITAR AL PODER EJECUTIVO DISPONGA LA REGLAMENTACION DE LA LEY 26331 DE PRESUPUESTOS MINIMOS DE PROTECCION AMBIENTAL DE LOS BOSQUES NATIVOS.,2008-05-20T00:00:00,2008,RESOLUCION,"GARCIA, SUSANA ROSA",true,D,eudr_trazabilidad_forestal,administrativa_neutra,relacionada,corpus,si,OTBN 26331 sustantiva
HCDN095569,"DECLARAR DE INTERES DE LA H CAMARA EL ""CURSO DE CARNE BOVINA. MODULO III"", A REALIZARSE EL 30 DE MAYO DE 2008 EN LA CIUDAD AUTONOMA DE BUENOS AIRES.",2008-05-27T00:00:00,2008,RESOLUCION,"FERRO, FRANCISCO JOSE",false,ninguno,,,,corpus,no,evento
HCDN095570,"DECLARAR DE INTERES DE LA H CAMARA LAS ""JORNADAS TECNICAS DE BIENESTAR ANIMAL EN BOVINOS DE CARNE"", A REALIZARSE EL 28 DE MAYO DE 2008 EN LA CIUDAD AUTONOMA DE BUENOS AIRES.",2008-05-27T00:00:00,2008,RESOLUCION,"FERRO, FRANCISCO JOSE",false,ninguno,,,,corpus,no,evento
HCDN096122,"SOLICITAR AL PODER EJECUTIVO DISPONGA DECLARAR DE INTERES NACIONAL LA ""CUMBRE DE JEFES DE ESTADO DEL MERCOSUR"", A REALIZARSE LOS DIAS 30 DE JUNIO Y 1 DE JULIO DE 2008 EN LA CIUDAD CAPITAL DE LA PROVINCIA DE TUCUMAN.",2008-06-09T00:00:00,2008,RESOLUCION,"ALFARO, GERMAN ENRIQUE",true,C,mercosur_institucional,administrativa_neutra,relacionada,corpus,no,cumbre oficial
HCDN096123,"SOLICITAR AL PODER EJECUTIVO DISPONGA LA REGLAMENTACION DE LA LEY 26331, DE PRESUPUESTOS MINIMOS PARA PROTECCION DE LOS BOSQUES NATIVOS.",2008-06-10T00:00:00,2008,RESOLUCION,"FABRIS, LUCIANO RAFAEL",true,D,eudr_trazabilidad_forestal,administrativa_neutra,relacionada,corpus,si,OTBN 26331
HCDN096290,"SOLICITAR AL PODER EJECUTIVO DISPONGA OTORGAR LOS BENEFICIOS ENMARCADOS EN LA LEY 26093, DE REGULACION Y PROMOCION PARA LA PRODUCCION Y USO SUSTENTABLE DE BIOCOMBUSTIBLES, TENDIENTES A IMPULSAR EL DESARROLLO DE LOS CULTIVOS ENERGETICOS.",2008-06-12T00:00:00,2008,DECLARACION,"ACOSTA, MARIA JULIA",false,ninguno,,,,corpus,no,
HCDN096292,"DECLARAR DE INTERES DE LA H CAMARA EL ""4 FORO EDUCATIVO MERCOSUR, EDUCACION Y CIUDADANIA EN UN NUEVO ESCENARIO REGIONAL"", A REALIZARSE LOS DIAS 12 Y 13 DE JUNIO DE 2008 EN LA CIUDAD AUTONOMA DE BUENOS AIRES.",2008-06-12T00:00:00,2008,DECLARACION,"BALADRON, MANUEL JUSTO",false,ninguno,,,,corpus,si,foro educativo Mercosur: oficialidad no verificable desde el titulo
HCDN096379,"MEDICAMENTOS, REGIMEN DE IDENTIFICACION POR RADIO FRECUENCIA Y TRAZABILIDAD.",2008-06-13T00:00:00,2008,LEY,"MARTIARENA, MARIO HUMBERTO",false,ninguno,,,,corpus,no,trazabilidad medicamentos
HCDN096387,"DECLARAR DE INTERES DE LA H CAMARA LA PROXIMA REUNION DEL CONSEJO MERCADO COMUN - CMC - Y LA CUMBRE DE PRESIDENTES DE LOS PAISES MIEMBROS DEL MERCOSUR, A REALIZARSE LOS DIAS 30 DE JUNIO Y 1 DE JULIO DE 2008, RESPECTIVAMENTE, EN LA CIUDAD DE SAN MIGUEL DE TUCUMAN.",2008-06-13T00:00:00,2008,RESOLUCION,"SALIM, JUAN ARTURO",true,C,mercosur_institucional,administrativa_neutra,relacionada,corpus,no,CMC + cumbre
HCDN096450,"POSICIONES ARANCELARIAS PARA CEREALES Y OLEAGINOSAS, RESOLUCION MEYP 64/08: DEROGACION.",2008-06-19T00:00:00,2008,LEY,"TORRONTEGUI, MARIA ANGELICA",false,ninguno,,,,corpus,no,NCM cereales
HCDN096500,"EXPRESAR REPUDIO POR LA LEY DE EXPULSION DE EXTRANJEROS EN SITUACION IRREGULAR, QUE FUERA APROBADA EL DIA 18 DE JUNIO DE 2008 EN EL ""PARLAMENTO DE LA UNION EUROPEA - UE -"".",2008-06-20T00:00:00,2008,DECLARACION,"LINARES, MARIA VIRGINIA",false,ninguno,,,,corpus,si,directiva retorno UE: birregional no comercial
HCDN096529,REINTEGRO A LA EXPORTACION EXTRAZONA ASIGNADO A LAS POSICIONES ARANCELARIAS DE LA NOMENCLATURA COMUN DEL MERCOSUR PARA PRODUCTOS ORIGINARIOS DE LA PROVINCIA DE SAN JUAN: INCREMENTO DE LAS ALICUOTAS DE REINTEGROS.,2008-06-23T00:00:00,2008,LEY,"CASELLES, GRACIELA MARIA",false,ninguno,,,,corpus,no,NCM reintegros
HCDN098116,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE RESOLUCION REMITIDA POR LA AUDITORIA GENERAL DE LA NACION REFERENTES A LOS ESTADOS FINANCIEROS AL 31 DE DICIEMBRE DE 2006, CORRESPONDIENTES AL PROYECTO BOSQUES NATIVOS Y AREAS PROTEGIDAS - CONVENIO DE PRESTAMO 4085-AR BIRF.",2008-06-23T00:00:00,2008,RESOLUCION,PARLAMENTARIA MIXTA REVISORA DE CUENTAS,false,ninguno,,,,corpus,no,auditoria contable bosques BIRF
HCDN096591,"EXPRESAR DESAGRADO POR EL INCUMPLIMIENTO DE LA ""CUOTA HILTON"" ASIGNADA PARA EL PRESENTE PERIODO.",2008-06-25T00:00:00,2008,DECLARACION,"FERRO, FRANCISCO JOSE",true,B,comercio_ue_sectorial,pro_liberalizacion,relacionada,corpus,no,
HCDN096655,"CREACION DEL FONDO NACIONAL CITRICOLA PARA LAS PROVINCIAS DE ENTRE RIOS, CORRIENTES, MISIONES, BUENOS AIRES, FORMOSA, CHACO, SANTA FE, TUCUMAN, SALTA, JUJUY, CATAMARCA, SANTIAGO DEL ESTERO Y LA RIOJA: DESTINO, INTEGRACION, DISTRIBUCION.",2008-06-26T00:00:00,2008,LEY,"CARMONA, MARIA ARACELI",false,ninguno,,,,corpus,no,
HCDN096659,DERECHOS DE EXPORTACION A LAS MERCADERIAS COMPRENDIDAS EN LAS POSICIONES ARANCELARIAS DE LA NOMENCLATURA COMUN DEL MERCOSUR -NCM-.,2008-06-26T00:00:00,2008,LEY,"HEREDIA, ARTURO MIGUEL",false,ninguno,,,,corpus,no,NCM
HCDN096667,"DERECHOS DE EXPORTACION; SE FIJA ALICUOTA MAXIMA DEL 20 % PARA LOS PRODUCTOS CEREALEROS, DEL 23% PARA LOS OLEAGINOSOS Y DEL 27% PARA LA SOJA, COMPRENDIDOS EN LAS POSICIONES ARANCELARIAS DE LA NOMENCLATURA COMUN DEL MERCOSUR.",2008-06-26T00:00:00,2008,LEY,"ARBO, JOSE AMEGHINO",false,ninguno,,,,corpus,no,NCM retenciones
HCDN096750,FIESTAS POPULARES DE CARNESTOLENDAS O CARNAVAL: SE INSTITUYEN COMO DIAS NO LABORABLES EL LUNES Y MARTES INMEDIATAMENTE ANTERIORES AL MIERCOLES DE CENIZA; DEROGACION DE LA PARTE PERTINENTE DEL DECRETO 21329/76.,2008-06-30T00:00:00,2008,LEY,"LEDESMA, JULIO RUBEN",false,ninguno,,,,corpus,no,carnestolendas
HCDN096785,SOLICITAR AL PODER EJECUTIVO DISPONGA LAS MEDIDAS NECESARIAS PARA GARANTIZAR QUE LOS CORTES DE CARNE DE CONSUMO INTERNO NO SE VEAN AFECTADOS POR LOS PRECIOS DEL MERCADO INTERNACIONAL.,2008-07-01T00:00:00,2008,RESOLUCION,"DIAZ, SUSANA ELADIA",false,ninguno,,,,corpus,no,
HCDN096787,"ADHERIR A LA ""DECLARACION EN DEFENSA DE LOS DERECHOS HUMANOS DE LOS MIGRANTES - MERCO SUL/PM/DECL. 10/2008"", ADOPTADO POR EL PARLAMENTO DEL MERCOSUR EL DIA 27 DE JUNIO DE 2008 EN SAN MIGUEL DE TUCUMAN, EN RECHAZO A LA DENOMINADA ""DIRECTIVA RETORNO"" DE LA UNION EUROPEA.",2008-07-01T00:00:00,2008,RESOLUCION,"TORRONTEGUI, MARIA ANGELICA",true,C,mercosur_institucional,administrativa_neutra,relacionada,corpus,si,declaracion del Parlasur vs directiva retorno UE; materia migratoria
HCDN096875,"DECLARAR DE INTERES DE LA H CAMARA LA ""CUARTA FERIA DE ECONOMIA SOLIDARIA DEL MERCOSUR"", A REALIZARSE DEL 11 AL 13 DE JULIO DE 2008 EN LA CIUDAD DE SANTA MARIA, ESTADO DE RIO GRANDE DO SUL, REPUBLICA FEDERATIVA DEL BRASIL.",2008-07-02T00:00:00,2008,RESOLUCION,"PERIE, JULIA ARGENTINA",false,ninguno,,,,corpus,no,feria
HCDN096920,EXPRESAR PREOCUPACION POR LOS TERMINOS DE LA LEY SOBRE DIRECTIVA DE RETORNO DE EXTRANJEROS APROBADA POR EL PARLAMENTO DE LA UNION EUROPEA.,2008-07-03T00:00:00,2008,DECLARACION,"ZANCADA, PABLO V.",false,ninguno,,,,corpus,si,directiva retorno UE: birregional no comercial
HCDN097043,"EXPRESAR BENEPLACITO POR LA DISTINCION OTORGADA AL ESCRITOR URUGUAYO, EDUARDO GALEANO, COMO CIUDADANO ILUSTRE DEL MERCOSUR.",2008-07-08T00:00:00,2008,DECLARACION,"PERIE, JULIA ARGENTINA",false,ninguno,,,,corpus,no,honorifico
HCDN097108,"DECLARAR DE INTERES DE LA H CAMARA EL IV ENCUENTRO EDUCATIVO - CULTURAL ""IV FERIA DE CIENCIA, CULTURA E INNOVACION TECNOLOGICA DEL MERCOSUR, PAISES ASOCIADOS E INVITADOS"", A REALIZARSE DEL 8 AL 12 DE SEPTIEMBRE DE 2008 EN LA CIUDAD CAPITAL DE LA PROVINCIA DE MISIONES.",2008-07-14T00:00:00,2008,RESOLUCION,"LEVERBERG, STELLA MARIS",false,ninguno,,,,corpus,no,feria
HCDN097119,"DECLARAR DE INTERES DE LA H CAMARA EL LIBRO ""INTRODUCCION AL SISTEMA STEEL FRAMING. CONSTRUYENDO PERFILES DE ACERO GALVANIZADO LIVIANO"", DEL ARQUITECTO ESTEBAN JAUREGUI.",2008-07-14T00:00:00,2008,DECLARACION,"RAIMUNDI, CARLOS",false,ninguno,,,,corpus,no,acero incidental
HCDN097148,EXPRESAR REPUDIO POR EL DICTADO DE LA LEY PARA LA EXPULSION DE INMIGRANTES CLANDESTINOS DE LA UNION EUROPEA APROBADA EL 18 DE JUNIO DE 2008 EN ESTRASBURGO.,2008-07-16T00:00:00,2008,DECLARACION,"GENEM, AMANDA SUSANA",false,ninguno,,,,corpus,si,directiva retorno UE
HCDN097266,"EXPRESAR BENEPLACITO HABERSE DECLARADO A EDUARDO GALEANO ""CIUDADANO ILUSTRE DEL MERCOSUR"", EL DIA 3 DE JULIO DE 2008 EN MONTEVIDEO, URUGUAY .",2008-07-24T00:00:00,2008,RESOLUCION,"GALANTINI, EDUARDO LEONEL",false,ninguno,,,,corpus,no,honorifico
HCDN097273,"DECLARAR DE INTERES DE LA H. CAMARA EL ""V CONVENGO DI LINGUE DEL MERCOSUR E PRIMO INCONTRO INTERNAZIONALE DELLE REGIONI: PACE, DEMOCRACIA E SOLIDARIETA"", A REALIZARSE ENTRE DEL 10 AL 13 DE SETIEMBRE DE 2008, EN LA CIUDAD CAPITAL DE LA PROVINCIA DEL CHACO.",2008-07-24T00:00:00,2008,RESOLUCION,"FABRIS, LUCIANO RAFAEL",false,ninguno,,,,corpus,no,evento
HCDN097295,"ELECCION DE LOS FUTUROS INTEGRANTES DEL PARLAMENTO DEL MERCOSUR: MODIFICACION DE LA LEY 19945, CODIGO ELECTORAL NACIONAL, INCORPORACION DEL CAPITULO IV, AL TITULO VII.",2008-07-25T00:00:00,2008,LEY,"ALFARO, GERMAN ENRIQUE",true,C,mercosur_institucional,administrativa_neutra,relacionada,corpus,no,eleccion Parlasur
HCDN097372,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE LA REGLAMENTACION DE LA LEY 26331, DE PRESUPUESTOS MINIMOS DE PROTECCION AMBIENTAL DE LOS BOSQUES NATIVOS.",2008-07-29T00:00:00,2008,RESOLUCION,"BONASSO, MIGUEL LUIS",true,D,eudr_trazabilidad_forestal,administrativa_neutra,relacionada,corpus,si,OTBN 26331
HCDN097546,"SOLICITAR AL PODER EJECUTIVO DISPONGA PROPONER AL CONSEJO DEL MERCADO COMUN DEL MERCOSUR, SE DECLARE A LOS DOCTORES RAUL RICARDO ALFONSIN Y JOSE SARNEY ""CIUDADANOS ILUSTRES DEL MERCOSUR"".",2008-07-31T00:00:00,2008,DECLARACION,"AZCOITI, PEDRO JOSE",false,ninguno,,,,corpus,no,honorifico (adjudicado en piloto)
HCDN097522,MADERA ASERRADA: EXIMICION DEL PAGO DEL DERECHO DE EXPORTACION A LAS MERCADERIAS COMPRENDIDAS EN LA PARTIDA ARANCELARIA DE LA NOMENCLATURA COMUN DEL MERCOSUR NCM 44.07.,2008-08-01T00:00:00,2008,LEY,"BIANCO, LIA FABIOLA",false,ninguno,,,,corpus,si,NCM madera: retenciones domesticas pero sector forestal
HCDN097678,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE EL INCUMPLIMIENTO DEL ENVIO DE LA CUOTA HILTON A EUROPA.,2008-08-13T00:00:00,2008,RESOLUCION,"MORINI, PEDRO JUAN",true,B,comercio_ue_sectorial,administrativa_neutra,relacionada,corpus,no,Hilton a Europa
HCDN097683,"DECLARAR DE INTERES DE LA H CAMARA DE DIPUTADOS EL ""CURSO DE EXTENSION: IDENTIFICACION Y TRAZABILIDAD DE AGROALIMENTOS E INSUMOS"", A INICIARSE EL DIA 19 DE AGOSTO DE 2008 EN LA CIUDAD AUTONOMA DE BUENOS AIRES.",2008-08-13T00:00:00,2008,RESOLUCION,"FERRO, FRANCISCO JOSE",false,ninguno,,,,corpus,no,curso trazabilidad = evento (regla 3)
HCDN097850,"PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE EL CONOCIMIENTO DE UN PROYECTO DE CONSTRUCCION DE UNA REPRESA EN EL ARROYO AYUI GRANDE EN MERCEDES, PROVINCIA DE CORRIENTES, PARA CREAR UN LAGO ARTIFICIAL DESTINADO A LA EXPLOTACION AGRICOLA, Y SI EN BASE AL REFERIDO PROYECTO SE HAN HECHO GESTIONES EN RELACION CON LA APLICACION DE LA LEY 26331, DE PRESUPUESTOS MINIMOS DE PROTECCION AMBIENTAL DE LOS BOSQUES NATIVOS.",2008-08-19T00:00:00,2008,RESOLUCION,"IRRAZABAL, JUAN MANUEL",true,D,eudr_trazabilidad_forestal,administrativa_neutra,relacionada,corpus,si,aplicacion 26331 a caso Ayui
HCDN097918,MODIFICACION DEL REINTEGRO A LA EXPORTACION EXTRAZONA (R.E.) ASIGNADO A LAS POSICIONES ARANCELARIAS DE LA NOMENCLATURA COMUN DEL MERCOSUR (NCM) DE DIVERSOS PRODUCTOS Y MERCADERIAS QUE SE ELABORAN EN LA PROVINCIA DE SAN JUAN.,2008-08-21T00:00:00,2008,LEY,"CASELLES, GRACIELA MARIA",false,ninguno,,,,corpus,no,NCM reintegros
HCDN097988,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE EL ESTADO DEL TRAMITE DE INGRESO AL MERCOSUR COMO MIEMBRO PLENO DE LA REPUBLICA BOLIVARIANA DE VENEZUELA.,2008-08-22T00:00:00,2008,RESOLUCION,"OBIGLIO, JULIAN MARTIN",true,C,mercosur_institucional,administrativa_neutra,relacionada,corpus,no,adhesion Venezuela
HCDN098039,SOLICITAR AL PODER EJECUTIVO DISPONGA LA ELABORACION DE UNA NUEVA MODALIDAD DE CONTENIDOS BASICOS COMUNES DE LA EDUCACION SECUNDARIA CON ORIENTACION EN INTEGRACION REGIONAL ENFOCADA EN EL MERCOSUR.,2008-08-25T00:00:00,2008,DECLARACION,"RAIMUNDI, CARLOS",true,C,mercosur_institucional,administrativa_neutra,relacionada,corpus,si,contenidos educativos sobre el bloque
HCDN098403,PEDIDO DE INFORMES AL PODER EJECUTIVO SOBRE LA EXPORTACION DE CARNES VACUNAS.,2008-09-02T00:00:00,2008,RESOLUCION,"BIANCHI, IVANA MARIA",false,ninguno,,,,corpus,si,exportacion carnes generica (sonda)
HCDN098532,"MEDIACION Y CONCILIACION, LEY 24573, EXTENSION INDEFINIDA DE SU VIGENCIA: MODIFICACION DEL ARTICULO 30, FACULTAR AL PODER EJECUTIVO PARA ESTABLECER ARANCELES Y HONORARIOS.",2008-09-04T00:00:00,2008,LEY,"TORRONTEGUI, MARIA ANGELICA",false,ninguno,,,,corpus,no,aranceles honorarios
HCDN098533,PROHIBICION DE PARTICIPACION DE JOVENES EN EVENTOS DE MODA CON INDICE DE MASA CORPORAL (IMC) INFERIOR AL ACEPTADO POR LA ORGANIZACION MUNDIAL DE LA SALUD (OMC).,2008-09-04T00:00:00,2008,LEY,"SOLANAS, RAUL PATRICIO",false,ninguno,,,,corpus,no,OMC = typo por OMS
