proyecto_id,anio,tipo,marco_regla,marco_manual,nota
HCDN149384,2013,RESOLUCION,domestico,domestico,
HCDN149993,2013,RESOLUCION,domestico,domestico,
HCDN152152,2013,LEY,domestico,domestico,
HCDN152570,2013,LEY,domestico,domestico,
HCDN156293,2013,DECLARACION,domestico,domestico,
HCDN157885,2013,LEY,domestico,domestico,
HCDN158351,2013,RESOLUCION,domestico,domestico,
HCDN159021,2013,RESOLUCION,domestico,domestico,
HCDN160087,2014,RESOLUCION,domestico,domestico,
HCDN160759,2014,RESOLUCION,domestico,domestico,
HCDN161629,2014,RESOLUCION,domestico,domestico,
HCDN164080,2014,RESOLUCION,domestico,domestico,
HCDN166003,2014,RESOLUCION,domestico,domestico,
HCDN166249,2014,RESOLUCION,externo,externo,"Kept externo: cattle traceability is commodity-chain traceability with commercial destination, though the object of the item is which agency regulates it."
HCDN166416,2014,LEY,domestico,domestico,
HCDN167603,2014,RESOLUCION,domestico,domestico,
HCDN168486,2014,RESOLUCION,domestico,domestico,
HCDN168657,2014,RESOLUCION,domestico,domestico,
HCDN171849,2015,LEY,domestico,domestico,
HCDN172143,2015,LEY,domestico,domestico,
HCDN172520,2015,LEY,domestico,domestico,
HCDN173199,2015,LEY,domestico,domestico,
HCDN175082,2015,LEY,domestico,domestico,
HCDN175477,2015,LEY,domestico,domestico,
HCDN175574,2015,RESOLUCION,domestico,domestico,
HCDN179703,2015,RESOLUCION,domestico,domestico,"Kept domestico: FAO report referenced, but the object is domestic deforestation; an international body is not an external-market frame."
HCDN179965,2015,LEY,externo,externo,
HCDN180275,2015,RESOLUCION,externo,externo,"Kept externo, borderline: audit of SENASA sanitary management including the animal identification and traceability system."
HCDN180951,2015,RESOLUCION,domestico,domestico,
HCDN182684,2016,LEY,domestico,domestico,
HCDN184192,2016,LEY,domestico,domestico,
HCDN187373,2016,RESOLUCION,domestico,domestico,
HCDN189288,2016,DECLARACION,domestico,domestico,
HCDN189657,2016,RESOLUCION,domestico,domestico,
HCDN191324,2016,LEY,domestico,domestico,
HCDN191957,2016,LEY,domestico,domestico,
HCDN194197,2016,RESOLUCION,domestico,domestico,
HCDN194965,2017,RESOLUCION,domestico,domestico,
HCDN196026,2017,RESOLUCION,domestico,domestico,
HCDN198423,2017,LEY,externo,externo,
HCDN202544,2017,LEY,externo,externo,
HCDN204519,2017,RESOLUCION,domestico,domestico,
HCDN205425,2017,LEY,domestico,domestico,
HCDN205429,2017,RESOLUCION,domestico,domestico,
HCDN205599,2017,RESOLUCION,externo,externo,"Kept externo: traceability programme for ractopamine use in pig production, part of the livestock traceability apparatus."
HCDN211972,2018,LEY,domestico,domestico,
HCDN211995,2018,LEY,domestico,domestico,
HCDN213062,2018,LEY,externo,domestico,Recoded externo -> domestico. Minimum-standards environmental bill (presupuestos minimos) on agrochemical traceability: environmental-control instrument with no external-market referent. The lexical rule fired on TRAZABILIDAD.
HCDN213317,2018,LEY,domestico,domestico,
HCDN219257,2018,RESOLUCION,domestico,domestico,
HCDN220111,2018,RESOLUCION,domestico,domestico,
HCDN220959,2018,RESOLUCION,domestico,domestico,
HCDN221790,2018,LEY,externo,externo,
HCDN225849,2018,LEY,domestico,domestico,
HCDN227787,2019,RESOLUCION,domestico,domestico,
HCDN228132,2019,LEY,externo,externo,
HCDN228169,2019,RESOLUCION,domestico,domestico,
HCDN229905,2019,LEY,externo,externo,
HCDN234816,2019,RESOLUCION,domestico,domestico,
HCDN235390,2019,RESOLUCION,domestico,domestico,
HCDN238252,2020,RESOLUCION,domestico,domestico,
HCDN240694,2020,LEY,externo,externo,
HCDN240918,2020,LEY,externo,domestico,Recoded externo -> domestico. Same instrument as HCDN213062.
HCDN240998,2020,LEY,domestico,domestico,
HCDN241784,2020,RESOLUCION,domestico,domestico,
HCDN241903,2020,RESOLUCION,domestico,domestico,
HCDN242884,2020,RESOLUCION,domestico,domestico,
HCDN244122,2020,RESOLUCION,domestico,domestico,
HCDN244575,2020,LEY,domestico,domestico,
HCDN245700,2020,DECLARACION,domestico,domestico,
HCDN246224,2020,RESOLUCION,domestico,domestico,
HCDN247042,2020,LEY,domestico,domestico,
HCDN248421,2021,LEY,domestico,domestico,
HCDN248559,2021,RESOLUCION,domestico,domestico,
HCDN248717,2021,LEY,domestico,domestico,
HCDN250115,2021,LEY,externo,externo,
HCDN250322,2021,RESOLUCION,domestico,domestico,
HCDN255053,2021,RESOLUCION,domestico,domestico,
HCDN255610,2022,RESOLUCION,domestico,domestico,
HCDN255775,2022,LEY,externo,externo,
HCDN257849,2022,LEY,externo,externo,
HCDN261866,2022,LEY,domestico,domestico,
HCDN262768,2022,DECLARACION,domestico,domestico,
HCDN265449,2022,LEY,domestico,domestico,
HCDN266678,2023,RESOLUCION,domestico,domestico,
HCDN271050,2023,RESOLUCION,domestico,domestico,
HCDN272773,2024,LEY,externo,externo,
HCDN272886,2024,LEY,externo,externo,
HCDN273811,2024,RESOLUCION,domestico,externo,Recoded domestico -> externo. Requests an import ban on pork produced with ractopamine: explicit external-trade referent (ingreso a la Republica Argentina). The lexical rule has no pattern for INGRESO.
HCDN274720,2024,LEY,domestico,domestico,
HCDN275190,2024,RESOLUCION,domestico,domestico,
HCDN276011,2024,LEY,externo,externo,
HCDN276142,2024,RESOLUCION,domestico,domestico,
HCDN276698,2024,LEY,domestico,domestico,
HCDN277611,2024,RESOLUCION,domestico,domestico,
HCDN278325,2024,RESOLUCION,eudr,eudr,Confirmed eudr: names Regulation 2023/1115.
HCDN278458,2024,RESOLUCION,domestico,domestico,
HCDN278623,2024,RESOLUCION,eudr,eudr,Confirmed eudr: describes the regulation (marketing and export of products associated with deforestation and forest degradation on the EU market).
HCDN278840,2024,RESOLUCION,domestico,domestico,
HCDN278878,2024,RESOLUCION,domestico,domestico,
HCDN278891,2024,RESOLUCION,domestico,domestico,
HCDN279051,2024,RESOLUCION,externo,externo,Confirmed externo: same instrument as HCDN283348 (entry into force of the Resolution 71/2024 system); coded identically for consistency.
HCDN279089,2024,RESOLUCION,domestico,domestico,
HCDN279193,2024,DECLARACION,domestico,domestico,"Kept domestico, borderline. Names REDD+, an international climate framework, but the object is a provincial programme and no market, buyer or export is named; coded like other references to international bodies (FAO) without a market frame."
HCDN279302,2024,DECLARACION,eudr,ue_otro,"Recoded eudr -> ue_otro. The register of establishments supplying cattle for slaughter for export to the EU is sanitary-traceability apparatus created by SENASA Resolution 370/1997 and re-established by Resolution 53/2017, twenty-six years before Regulation 2023/1115; it also appears as established framework in the recitals of SAGyP Resolution 71/2024 (B.O. 17-10-2024). Title names the EU but not the deforestation regime."
HCDN279503,2024,LEY,domestico,domestico,
HCDN282180,2025,DECLARACION,domestico,domestico,
HCDN283344,2025,RESOLUCION,eudr,eudr,Confirmed eudr: names Regulation 2023/1115 and its suspension.
HCDN283348,2025,RESOLUCION,eudr,externo,"Recoded eudr -> externo. The individual electronic traceability system was created by SAGyP Resolution 71/2024, whose recitals invoke global consumer demands and sanitary management and do not mention Regulation 2023/1115 or deforestation; Resolution 19/2025 postponed it on device-supply grounds. Multi-market instrument, not EU-specific."
HCDN284239,2025,LEY,domestico,domestico,
